NET,STATION,CHANNEL,LAT,LON
GS,PR01,HHZ,18.034722,-67.06777
GS,PR02,HHZ,18.01277,-66.77
GS,PR03,HHZ,18.066505,-66.937827
GS,PR04,HHZ,17.97833,-66.67056
GS,PR05,HHZ,18.04667,-66.86056
GS,PR06,HHZ,18.055676,-66.724744
IU,SJG,BHZ,18.1091,-66.15
IU,SJG,HHZ,18.1091,-66.15
PR,ABVI,BHZ,18.72961,-64.33254
PR,AGPR,HHZ,18.46749,-67.11118
PR,AOPR,HHZ,18.346645,-66.753975
PR,CDVI,BHZ,17.75222,-64.76472
PR,CDVI,HHZ,17.731667,-64.714722
PR,CELP,HHZ,18.07485,-66.579167
PR,CRPR,HHZ,18.0064,-67.1096
PR,CULB,BHZ,18.326387,-65.300552
PR,CUPR,HHZ,18.307456,-65.28256
PR,ECPR,BHZ,18.31875,-66.36288
PR,ECPR,HHZ,18.31875,-66.36288
PR,EMPR,BHZ,18.477098,-66.529495
PR,EMPR,HHZ,18.477098,-66.529495
PR,GBPR,HHZ,17.975053,-66.879258
PR,GCPR,HHZ,18.309091,-66.08366
PR,HUMP,HHZ,18.142069,-65.848846
PR,ICM,BHZ,17.893358,-66.520973
PR,ICMP,HHZ,17.8863,-66.5267
PR,ICMP,HHZ,17.8863,-66.5267
PR,IDE,EHZ,18.384447,-67.47915
PR,IGPR,HHZ,17.965485,-66.106852
PR,IMPR,HHZ,18.076971,-67.931123
PR,LSP,HHZ,18.175731,-67.085816
PR,MLPR,HHZ,17.969428,-67.044223
PR,MTP,HHZ,18.097254,-65.55272
PR,OBIP,BHZ,18.0428,-66.60623
PR,PCDR,BHZ,18.514463,-68.380977
PR,PDPR,BHZ,18.018099,-66.022209
PR,PDPR,HHZ,18.018097,-66.022208
PR,PRSN,HHZ,18.21708,-67.14472
PR,SJVI,BHZ,18.331536,-64.771816
PR,SMDR,BHZ,19.2898,-69.1882
PR,STVI,BHZ,18.353333,-64.962222
PR,TBVI,EHZ,18.414984,-64.618614
PR,TS02,HHZ,17.953687,-66.878098
PR,TS05,HHZ,17.989683,-67
PR,UUPR,HHZ,18.252777,-66.720185
PR,VGBI,BHZ,18.490224,-64.402362
