Type,Name,lon,lat
S,Tuxtla-Malpaso,-93.64751842,16.98358836
S,Tuxtla-Malpaso,-93.58591435,16.97425441
S,Tuxtla-Malpaso,-93.54484497,16.96305367
S,Tuxtla-Malpaso,-93.50190881,16.94811935
S,Tuxtla-Malpaso,-93.4664398,16.93505182
S,Tuxtla-Malpaso,-93.38056746,16.91265034
S,Tuxtla-Malpaso,-93.33203092,16.89398244
S,Tuxtla-Malpaso,-93.27789401,16.8827817
S,Tuxtla-Malpaso,-93.22189031,16.86971417
S,Tuxtla-Malpaso,-93.19202167,16.84917948
S,Tuxtla-Malpaso,-93.1490855,16.82491121
S,Tuxtla-Malpaso,-93.0744139,16.80064294
S,Tuxtla-Malpaso,-93.02961094,16.76890751
S,Tuxtla-Malpaso,-92.98854157,16.75583998
S,Tuxtla-Malpaso,-92.95680614,16.74650603
S,Tuxtla-Malpaso,-92.92320392,16.72037097
S,Tuxtla-Malpaso,-92.89333528,16.69983628
S,Tuxtla-Malpaso,-92.84666553,16.68490196
S,Tuxtla-Malpaso,-92.7962622,16.66250048
S,Tuxtla-Malpaso,-92.72905776,16.62703147
S,Tuxtla-Malpaso,-92.68798838,16.62143111
S,Tuxtla-Malpaso,-92.64131863,16.59529605
S,Tuxtla-Malpaso,-92.60398283,16.58222852
S,Tuxtla-Malpaso,-92.57784777,16.56076043
S,Tuxtla-Malpaso,-92.55077932,16.53462537
S,Tuxtla-Malpaso,-92.53024463,16.51595747
S,Tuxtla-Malpaso,-92.50410957,16.49728957
S,Tuxtla-Malpaso,-92.48917525,16.48048846
S,Tuxtla-Malpaso,-92.46024001,16.46368735
S,Tuxtla-Malpaso,-92.43503834,16.44595285
S,Tuxtla-Malpaso,-92.42757118,16.43381871
S,Tuxtla-Malpaso,-92.424771,16.41235063
S,Tuxtla-Malpaso,-92.40703649,16.37221465
S,Tuxtla-Malpaso,-92.38930199,16.34701298
S,Tuxtla-Malpaso,-92.37156748,16.306877
S,Tuxtla-Malpaso,-92.35663316,16.28260873
S,Tuxtla-Malpaso,-92.34356563,16.25460688
S,Tuxtla-Malpaso,-92.3304981,16.23687237
S,Tuxtla-Malpaso,-92.26329367,16.19766978
S,Tuxtla-Malpaso,-92.22502447,16.15566701
S,Tuxtla-Malpaso,-92.18488849,16.12486498
S,Tuxtla-Malpaso,-92.1260846,16.09032936
S,Tuxtla-Malpaso,-92.0710143,16.06046072
S,Tuxtla-Malpaso,-92.02154437,16.0464598
S,Tuxtla-Malpaso,-91.91980431,16.05112677
S,Tuxtla-Malpaso,-91.86193382,16.0464598
S,Tuxtla-Malpaso,-91.81713087,16.03619245
S,Tuxtla-Malpaso,-91.78166186,16.02125813
S,Tuxtla-Malpaso,-91.71259063,16.02032474
S,Tuxtla-Malpaso,-91.68645557,16.01939134
S,Malpaso,-93.32829734,17.0225576
S,Malpaso,-93.31943009,17.01789062
S,Malpaso,-93.31289632,17.01462374
S,Malpaso,-93.30869604,17.00995677
S,Malpaso,-93.30192893,17.0043564
S,Malpaso,-93.29562851,17.00015612
S,Malpaso,-93.28769466,16.99782263
S,Malpaso,-93.28186094,16.99408905
S,Malpaso,-93.27602722,16.98895538
S,Malpaso,-93.27089355,16.98358836
S,Malpaso,-93.26365974,16.97845469
S,Malpaso,-93.25922611,16.97448776
S,Malpaso,-93.25455914,16.96982078
S,Malpaso,-93.24709198,16.96538716
S,Malpaso,-93.2428917,16.96095353
S,Malpaso,-93.23682463,16.95488646
S,Malpaso,-93.23122426,16.95185293
S,Malpaso,-93.22282371,16.94648591
S,Malpaso,-93.21698999,16.94368572
S,Malpaso,-93.2055559,16.93621856
S,Malpaso,-93.19178832,16.92898475
S,Malpaso,-93.18268772,16.92548452
S,Malpaso,-93.17522056,16.92151759
S,Malpaso,-93.16495322,16.91661727
S,Malpaso,-93.15258573,16.91171694
S,Malpaso,-93.1395182,16.90658327
S,Malpaso,-93.13251774,16.90378309
S,Malpaso,-93.12388384,16.9005162
S,Malpaso,-93.11618333,16.89631593
S,Malpaso,-93.10568264,16.89048221
S,Malpaso,-93.09751543,16.88581523
S,Malpaso,-93.09051497,16.87904812
S,Malpaso,-93.07768079,16.87181431
S,Malpaso,-93.0667134,16.86341375
S,Malpaso,-93.06041298,16.85944683
S,Malpaso,-93.05154573,16.85221301
S,Malpaso,-93.0370781,16.84241237
S,Malpaso,-93.0293776,16.8363453
S,Malpaso,-93.01350988,16.8277114
S,Malpaso,-93.00627607,16.82281107
S,Malpaso,-92.99297519,16.81114363
S,Malpaso,-92.98364124,16.80297643
S,Malpaso,-92.96754018,16.79154234
S,Malpaso,-92.95540604,16.7808083
S,Malpaso,-92.94630544,16.77334114
S,Malpaso,-92.93300456,16.76097365
S,Malpaso,-92.91503671,16.74977291
S,Malpaso,-92.8982356,16.73973892
S,Malpaso,-92.88306793,16.73320515
S,Malpaso,-92.87163384,16.72900488
S,Tectapan,-92.8149301,16.99898937
S,Tectapan,-92.80326266,16.99712258
S,Tectapan,-92.78179458,16.9947891
S,Tectapan,-92.76406007,16.99198891
S,Tectapan,-92.74725896,16.99198891
S,Tectapan,-92.73559153,16.99012212
S,Tectapan,-92.71178995,16.98872203
S,Tectapan,-92.69638894,16.98498845
S,Tectapan,-92.6847215,16.98358836
S,Tectapan,-92.67072057,16.98358836
S,Tectapan,-92.65858644,16.98358836
S,Tectapan,-92.646919,16.98452175
S,Tectapan,-92.63851845,16.98172157
S,Tectapan,-92.6296512,16.98078817
S,Tectapan,-92.61798376,16.98172157
S,Tectapan,-92.6109833,16.98288831
S,Tectapan,-92.60281609,16.98172157
S,Tectapan,-92.59488223,16.98218827
S,Tectapan,-92.58858182,16.98172157
